,delta_E_seg_GB_i,Fi,Xi,Pi
92,-2.7268893348149232,1.1521175734429797e-06,1.0,1.1521175734429797e-06
93,-2.725238021637556,1.1843089008920592e-06,1.0,1.1843089008920592e-06
94,-2.7235867084601897,1.2172598068262428e-06,1.0,1.2172598068262428e-06
95,-2.7219353952828236,1.2509839070074335e-06,1.0,1.2509839070074335e-06
96,-2.7202840821054566,1.2854949387542194e-06,1.0,1.2854949387542194e-06
97,-2.7186327689280896,1.3208067585804987e-06,1.0,1.3208067585804987e-06
98,-2.7169814557507235,1.3569333397206378e-06,1.0,1.3569333397206378e-06
99,-2.7153301425733574,1.3938887695401302e-06,1.0,1.3938887695401302e-06
100,-2.7136788293959904,1.4316872468307459e-06,1.0,1.4316872468307459e-06
101,-2.712027516218624,1.470343078989198e-06,1.0,1.470343078989198e-06
102,-2.710376203041257,1.509870679078586e-06,1.0,1.509870679078586e-06
103,-2.7087248898638903,1.550284562771624e-06,1.0,1.550284562771624e-06
104,-2.707073576686524,1.591599345175063e-06,1.0,1.591599345175063e-06
105,-2.7054222635091567,1.6338297375345817e-06,1.0,1.6338297375345817e-06
106,-2.7037709503317906,1.6769905438195468e-06,1.0,1.6769905438195468e-06
107,-2.7021196371544236,1.7210966571871597e-06,1.0,1.7210966571871597e-06
108,-2.700468323977057,1.7661630563254963e-06,1.0,1.7661630563254963e-06
109,-2.698817010799691,1.812204801675124e-06,1.0,1.812204801675124e-06
110,-2.6971656976223244,1.8592370315289783e-06,1.0,1.8592370315289783e-06
111,-2.6955143844449574,1.9072749580102639e-06,1.0,1.9072749580102639e-06
112,-2.6938630712675904,1.956333862928413e-06,1.0,1.956333862928413e-06
113,-2.6922117580902243,2.006429093512849e-06,1.0,2.006429093512849e-06
114,-2.6905604449128577,2.0575760580247725e-06,1.0,2.0575760580247725e-06
115,-2.6889091317354907,2.109790221247057e-06,1.0,2.109790221247057e-06
116,-2.6872578185581246,2.1630870998525043e-06,1.0,2.1630870998525043e-06
117,-2.685606505380758,2.217482257650772e-06,1.0,2.217482257650772e-06
118,-2.6839551922033915,2.2729913007144163e-06,1.0,2.2729913007144163e-06
119,-2.6823038790260245,2.329629872384583e-06,1.0,2.329629872384583e-06
120,-2.680652565848658,2.38741364815686e-06,1.0,2.38741364815686e-06
121,-2.6790012526712914,2.4463583304482475e-06,1.0,2.4463583304482475e-06
122,-2.677349939493925,2.5064796432457713e-06,1.0,2.5064796432457713e-06
123,-2.6756986263165583,2.5677933266378534e-06,1.0,2.5677933266378534e-06
124,-2.674047313139192,2.630315131229414e-06,1.0,2.630315131229414e-06
125,-2.672395999961825,2.694060812441812e-06,1.0,2.694060812441812e-06
126,-2.670744686784458,2.7590461246988774e-06,1.0,2.7590461246988774e-06
127,-2.669093373607092,2.8252868155003652e-06,1.0,2.8252868155003652e-06
128,-2.667442060429725,2.8927986193842817e-06,1.0,2.8927986193842817e-06
129,-2.6657907472523585,2.961597251779662e-06,1.0,2.961597251779662e-06
130,-2.6641394340749915,3.0316984027513238e-06,1.0,3.0316984027513238e-06
131,-2.662488120897625,3.1031177306386964e-06,1.0,3.1031177306386964e-06
132,-2.6608368077202593,3.1758708555901933e-06,1.0,3.1758708555901933e-06
133,-2.6591854945428923,3.249973352995424e-06,1.0,3.249973352995424e-06
134,-2.6575341813655258,3.3254407468172332e-06,1.0,3.3254407468172332e-06
135,-2.655882868188159,3.4022885028258093e-06,1.0,3.4022885028258093e-06
136,-2.6542315550107927,3.4805320217371825e-06,1.0,3.4805320217371825e-06
137,-2.6525802418334257,3.5601866322585602e-06,1.0,3.5601866322585602e-06
138,-2.650928928656059,3.641267584043071e-06,1.0,3.641267584043071e-06
139,-2.649277615478693,3.723790040556463e-06,1.0,3.723790040556463e-06
140,-2.647626302301326,3.8077690718588363e-06,1.0,3.8077690718588363e-06
141,-2.6459749891239595,3.8932196473039e-06,1.0,3.8932196473039e-06
142,-2.6443236759465933,3.98015662815903e-06,1.0,3.98015662815903e-06
143,-2.6426723627692263,4.068594760149158e-06,1.0,4.068594760149158e-06
144,-2.64102104959186,4.158548665927704e-06,1.0,4.158548665927704e-06
145,-2.639369736414493,4.250032837477887e-06,1.0,4.250032837477887e-06
146,-2.6377184232371267,4.343061628447862e-06,1.0,4.343061628447862e-06
147,-2.6360671100597597,4.4376492464232105e-06,1.0,4.4376492464232105e-06
148,-2.634415796882393,4.533809745140486e-06,1.0,4.533809745140486e-06
149,-2.6327644837050266,4.631557016645405e-06,1.0,4.631557016645405e-06
150,-2.6311131705276605,4.730904783399918e-06,1.0,4.730904783399918e-06
151,-2.629461857350293,4.831866590341647e-06,1.0,4.831866590341647e-06
152,-2.627810544172927,4.934455796900103e-06,1.0,4.934455796900103e-06
153,-2.6261592309955604,5.038685568973717e-06,1.0,5.038685568973717e-06
154,-2.624507917818194,5.144568870871967e-06,1.0,5.144568870871967e-06
155,-2.6228566046408277,5.252118457226954e-06,1.0,5.252118457226954e-06
156,-2.6212052914634607,5.361346864878894e-06,1.0,5.361346864878894e-06
157,-2.6195539782860937,5.472266404740089e-06,1.0,5.472266404740089e-06
158,-2.6179026651087267,5.5848891536418295e-06,1.0,5.5848891536418295e-06
159,-2.6162513519313606,5.699226946169411e-06,1.0,5.699226946169411e-06
160,-2.614600038753994,5.815291366489466e-06,1.0,5.815291366489466e-06
161,-2.6129487255766275,5.9330937401749374e-06,1.0,5.9330937401749374e-06
162,-2.6112974123992605,6.0526451260325065e-06,1.0,6.0526451260325065e-06
163,-2.6096460992218944,6.17395630793753e-06,1.0,6.17395630793753e-06
164,-2.6079947860445283,6.2970377866816105e-06,1.0,6.2970377866816105e-06
165,-2.6063434728671613,6.421899771837985e-06,1.0,6.421899771837985e-06
166,-2.6046921596897947,6.548552173650005e-06,1.0,6.548552173650005e-06
167,-2.603040846512428,6.677004594948009e-06,1.0,6.677004594948009e-06
168,-2.601389533335061,6.8072663231000125e-06,1.0,6.8072663231000125e-06
169,-2.599738220157694,6.9393463220014526e-06,1.0,6.9393463220014526e-06
170,-2.598086906980328,7.073253224109999e-06,1.0,7.073253224109999e-06
171,-2.596435593802961,7.208995322530258e-06,1.0,7.208995322530258e-06
172,-2.594784280625595,7.346580563154538e-06,1.0,7.346580563154538e-06
173,-2.5931329674482284,7.486016536865027e-06,1.0,7.486016536865027e-06
174,-2.591481654270862,7.627310471803163e-06,1.0,7.627310471803163e-06
175,-2.5898303410934957,7.770469225711827e-06,1.0,7.770469225711827e-06
176,-2.5881790279161283,7.915499278356224e-06,1.0,7.915499278356224e-06
177,-2.5865277147387618,8.062406724028885e-06,1.0,8.062406724028885e-06
178,-2.5848764015613948,8.211197264145253e-06,1.0,8.211197264145253e-06
179,-2.5832250883840286,8.361876199934793e-06,1.0,8.361876199934793e-06
180,-2.581573775206662,8.514448425234105e-06,1.0,8.514448425234105e-06
181,-2.5799224620292955,8.668918419387552e-06,1.0,8.668918419387552e-06
182,-2.5782711488519294,8.825290240261352e-06,1.0,8.825290240261352e-06
183,-2.5766198356745624,8.983567517376892e-06,1.0,8.983567517376892e-06
184,-2.574968522497196,9.143753445169126e-06,1.0,9.143753445169126e-06
185,-2.5733172093198293,9.305850776375873e-06,1.0,9.305850776375873e-06
186,-2.5716658961424628,9.469861815563763e-06,1.0,9.469861815563763e-06
187,-2.570014582965096,9.635788412796756e-06,1.0,9.635788412796756e-06
188,-2.568363269787729,9.803631957452583e-06,1.0,9.803631957452583e-06
189,-2.5667119566103627,9.973393372193613e-06,1.0,9.973393372193613e-06
190,-2.565060643432996,1.0145073107096896e-05,1.0,1.0145073107096896e-05
191,-2.5634093302556296,1.031867113394971e-05,1.0,1.031867113394971e-05
192,-2.561758017078263,1.0494186940715916e-05,1.0,1.0494186940715916e-05
193,-2.5601067039008965,1.0671619526178784e-05,1.0,1.0671619526178784e-05
194,-2.55845539072353,1.0850967394765727e-05,1.0,1.0850967394765727e-05
195,-2.5568040775461633,1.1032228551560466e-05,1.0,1.1032228551560466e-05
196,-2.5551527643687963,1.1215400497507686e-05,1.0,1.1215400497507686e-05
197,-2.5535014511914302,1.1400480224816245e-05,1.0,1.1400480224816245e-05
198,-2.5518501380140632,1.1587464212565133e-05,1.0,1.1587464212565133e-05
199,-2.5501988248366967,1.1776348422518155e-05,1.0,1.1776348422518155e-05
200,-2.54854751165933,1.1967128295151989e-05,1.0,1.1967128295151989e-05
201,-2.546896198481964,1.2159798745902734e-05,1.0,1.2159798745902734e-05
202,-2.5452448853045966,1.2354354161635773e-05,1.0,1.2354354161635773e-05
203,-2.5435935721272305,1.2550788397343734e-05,1.0,1.2550788397343734e-05
204,-2.5419422589498644,1.274909477307726e-05,1.0,1.274909477307726e-05
205,-2.5402909457724974,1.294926607111302e-05,1.0,1.294926607111302e-05
206,-2.5386396325951304,1.3151294533363685e-05,1.0,1.3151294533363685e-05
207,-2.5369883194177643,1.335517185903358e-05,1.0,1.335517185903358e-05
208,-2.5353370062403973,1.356088920252529e-05,1.0,1.356088920252529e-05
209,-2.5336856930630307,1.3768437171600011e-05,1.0,1.3768437171600011e-05
210,-2.532034379885664,1.3977805825796512e-05,1.0,1.3977805825796512e-05
211,-2.5303830667082976,1.4188984675112112e-05,1.0,1.4188984675112112e-05
212,-2.528731753530931,1.4401962678949415e-05,1.0,1.4401962678949415e-05
213,-2.5270804403535645,1.4616728245332312e-05,1.0,1.4616728245332312e-05
214,-2.525429127176197,1.4833269230394604e-05,1.0,1.4833269230394604e-05
215,-2.523777813998831,1.5051572938144172e-05,1.0,1.5051572938144172e-05
216,-2.5221265008214644,1.527162612050659e-05,1.0,1.527162612050659e-05
217,-2.5204751876440983,1.549341497764983e-05,1.0,1.549341497764983e-05
218,-2.5188238744667317,1.571692515859373e-05,1.0,1.571692515859373e-05
219,-2.5171725612893647,1.5942141762106337e-05,1.0,1.5942141762106337e-05
220,-2.515521248111998,1.6169049337889623e-05,1.0,1.6169049337889623e-05
221,-2.513869934934632,1.6397631888056652e-05,1.0,1.6397631888056652e-05
222,-2.512218621757265,1.662787286890235e-05,1.0,1.662787286890235e-05
223,-2.5105673085798985,1.6859755192969526e-05,1.0,1.6859755192969526e-05
224,-2.5089159954025315,1.709326123141197e-05,1.0,1.709326123141197e-05
225,-2.507264682225165,1.7328372816655925e-05,1.0,1.7328372816655925e-05
226,-2.5056133690477984,1.7565071245360992e-05,1.0,1.7565071245360992e-05
227,-2.503962055870432,1.7803337281682342e-05,1.0,1.7803337281682342e-05
228,-2.5023107426930653,1.8043151160833948e-05,1.0,1.8043151160833948e-05
229,-2.5006594295156988,1.8284492592954277e-05,1.0,1.8284492592954277e-05
230,-2.499008116338332,1.8527340767274703e-05,1.0,1.8527340767274703e-05
231,-2.4973568031609656,1.8771674356590866e-05,1.0,1.8771674356590866e-05
232,-2.495705489983599,1.9017471522036983e-05,1.0,1.9017471522036983e-05
233,-2.494054176806232,1.9264709918163152e-05,1.0,1.9264709918163152e-05
234,-2.492402863628865,1.9513366698314787e-05,1.0,1.9513366698314787e-05
235,-2.490751550451499,1.97634185203146e-05,1.0,1.97634185203146e-05
236,-2.4891002372741324,2.001484155244509e-05,1.0,2.001484155244509e-05
237,-2.4874489240967663,2.0267611479731552e-05,1.0,2.0267611479731552e-05
238,-2.4857976109193998,2.052170351052388e-05,1.0,2.052170351052388e-05
239,-2.4841462977420328,2.0777092383375948e-05,1.0,2.0777092383375948e-05
240,-2.482494984564666,2.103375237422093e-05,1.0,2.103375237422093e-05
241,-2.4808436713873,2.1291657303840704e-05,1.0,2.1291657303840704e-05
242,-2.479192358209933,2.15507805456272e-05,1.0,2.15507805456272e-05
243,-2.4775410450325666,2.1811095033633667e-05,1.0,2.1811095033633667e-05
244,-2.4758897318552,2.2072573270913272e-05,1.0,2.2072573270913272e-05
245,-2.474238418677833,2.2335187338142e-05,1.0,2.2335187338142e-05
246,-2.4725871055004665,2.259890890252405e-05,1.0,2.259890890252405e-05
247,-2.4709357923231,2.2863709226975266e-05,1.0,2.2863709226975266e-05
248,-2.4692844791457333,2.3129559179582292e-05,1.0,2.3129559179582292e-05
249,-2.4676331659683663,2.339642924333361e-05,1.0,2.339642924333361e-05
250,-2.465981852791,2.3664289526118828e-05,1.0,2.3664289526118828e-05
251,-2.4643305396136337,2.393310977099232e-05,1.0,2.393310977099232e-05
252,-2.4626792264362667,2.420285936669725e-05,1.0,2.420285936669725e-05
253,-2.4610279132589,2.447350735844519e-05,1.0,2.447350735844519e-05
254,-2.4593766000815336,2.4745022458948127e-05,1.0,2.4745022458948127e-05
255,-2.457725286904167,2.5017373059696437e-05,1.0,2.5017373059696437e-05
256,-2.4560739737268005,2.5290527242479558e-05,1.0,2.5290527242479558e-05
257,-2.454422660549434,2.55644527911434e-05,1.0,2.55644527911434e-05
258,-2.452771347372068,2.5839117203579732e-05,1.0,2.5839117203579732e-05
259,-2.4511200341947013,2.6114487703942113e-05,1.0,2.6114487703942113e-05
260,-2.4494687210173343,2.6390531255082616e-05,1.0,2.6390531255082616e-05
