Tilt,Normal,DE_hat_b,PR_hat_GB,E_hat_b
100,20170,0.01256875925925926,0.0023148148148148143,0.010731359726518654
100,20190,0.2730874166666667,0.020833333333333332,0.12008539046002613
100,2030,0.04237151600985222,0.0006157635467980296,0.020732161239253727
100,2070,0.04551006650246305,0.00041050903119868647,0.017005276415743672
100,2090,0.03643381592637055,0.0002000800320128051,0.018792215352092606
100,210,0.30921499999999996,0.02,0.15549972980019128
100,310,0.48913166666666674,0.04166666666666666,0.3677385798530251
100,410,0.4298402857142857,0.014285714285714287,0.16688020433386802
100,510,0.3886300714285715,0.023809523809523808,0.32362506912443945
100,520,0.2594918571428571,0.006493506493506493,0.09464323144661844
100,530,0.2864101388888889,0.013888888888888888,0.16711203724849433
100,650,0.19714491666666667,0.020833333333333332,0.08420573679882276
100,720,0.10620414835164836,0.002747252747252747,0.04881818918169472
100,830,0.20334050802139036,0.00267379679144385,0.07172940648935718
100,850,0.09714342592592594,0.0015432098765432096,0.047464269999553936
100,870,0.079582,0.020833333333333332,0.04640029378436766
100,920,0.08823999583333333,0.0020833333333333337,0.04137054433379308
100,940,0.07263115019762846,0.0009881422924901183,0.03829922084140259
100,950,0.08803175974025974,0.0021645021645021645,0.08534379447053737
100,970,0.11931038541666666,0.010416666666666666,0.09747925777747309
100,980,0.03587266666666667,0.020833333333333332,0.03238528965057284
110,1011,0.044104590027700834,0.0013850415512465374,0.01984064389321752
110,1033,0.09255103512396694,0.002066115702479339,0.09530875593117392
110,1077,0.04760357974137931,0.0010775862068965517,0.04429497826341369
110,111,0.795463,0.0625,0.0497164375
110,111010,0.05006328550295858,0.0014792899408284025,0.05263190025205156
110,1133,0.24786843650793652,0.003968253968253968,0.08701153738547981
110,1144,0.019623836713995948,0.0010141987829614606,0.01808230505930301
110,1166,0.026035416992187498,0.0009765625,0.020914891848449517
110,1177,0.12093055709342562,0.0017301038062283738,0.057597935918245594
110,1188,0.04051090916955018,0.0008650519031141869,0.041565406041790466
110,1199,0.06496944444444444,0.002222222222222222,0.03332553674816289
110,1211,0.03357574108818012,0.0006253908692933081,0.035694472718028655
110,121111,0.04845813873626374,0.0013736263736263737,0.04645501204305771
110,1255,0.014965813953488375,0.0005167958656330751,0.015065126334554797
110,1277,0.05817763894139887,0.000945179584120983,0.02724888532388868
110,131010,0.036264536273115225,0.0007112375533428164,0.036831935951280065
110,131111,0.08758515570934257,0.0017301038062283738,0.044398055417339564
110,131212,0.043303163218390804,0.001149425287356322,0.04331313715683771
110,1333,0.2278554157706093,0.003584229390681003,0.06869998323130193
110,1344,0.07382591785714285,0.0011904761904761901,0.07014808415600518
110,1355,0.016571213151927437,0.0011337868480725624,0.008777216827521457
110,1366,0.026202883580891206,0.0004014452027298274,0.022851732475614454
110,1388,0.018703134716981134,0.0003773584905660377,0.016493090130123948
110,1411,0.05941215570175438,0.0007309941520467838,0.06039863855961179
